OBJECTID,GPS_YEAR,PROPERTY,HOLES,ACTIVE,ASPECT,LANDUSE,VEG_TYPE,AG_LEASE,YOUNG_EMER,INFLUENCE,DENSITY,STATUS,PDOG_CAT,CATEGORY_L,REMARKS,RELOCATION,Town,Encroaching,Acreage,ShapeSTArea,ShapeSTLength
22,1997,Sherwood,18,active,flat,preserve,native range,no,yes,into town,42.535,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,2,,0.42318404,18433.8967285156,690.845040050243
23,1997,John Clark Farm,21,active,flat,agricultural,irrigated grass,yes,yes,into town,125.736,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,0.16701735,7275.27661132812,385.553765739844
24,1997,John Clark Farm,138,active,flat,agricultural,irrigated grass,yes,yes,into town,140.256,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,2,,0.98391732,42859.4375,1138.88839400413
25,1997,Hall Ranch,1714,active,flat,preserve,intro range,no,yes,no influence,35.975,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,43.23856288,1883471.79858398,7007.55096941368
26,1997,Hall Ranch,1140,active,flat,preserve,intro range,no,yes,no influence,32.007,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,2,,17.70455568,771210.445556641,7445.41673844531
27,1997,Dollaghan,0,inactive,flat,wildlife habitat,native range,no,no,into town,0,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,0.9447126,41151.6806640625,807.839348018196
28,1997,66 Investments,128,active,flat,agricultural,irrigated grass,yes,no,no influence,26.046,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,4.91434641,214068.931152344,2039.3397530802
29,1997,Lohr,27,active,flat,agricultural,irrigated grass,yes,no,outside town,28.42,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,0.95001998,41382.8725585938,860.441472696119
30,1997,Lohr,63,active,flat,agricultural,irrigated grass,yes,no,no influence,65.092,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,5,,0.96786314,42160.1186523438,1030.08525359213
31,1997,Lohr,169,active,south,agricultural,irrigated grass,yes,no,no influence,60.256,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,3,,2.80468077,122171.895263672,1860.732905481
32,1997,Lohr,565,active,flat,agricultural,irrigated grass,yes,no,outside town,38.568,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,4,,9.77912968,425978.890869141,3254.864658225
33,1997,Lohr,22,active,south,agricultural,irrigated grass,yes,no,no influence,35.941,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,2,,0.61211393,26663.6833496094,734.43235854363
34,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,4,,51.46315931,2241735.21948242,7991.50230403756
35,1997,Heil Ranch,29,active,west,preserve,intro range,no,yes,into town,56.448,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,3,,0.4189389,18248.9792480469,642.152491897554
36,1997,Heil Ranch,8,active,west,preserve,intro range,no,yes,into town,65.134,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,2,,0.12282363,5350.19775390625,386.239867833025
37,1997,Platt,49,active,east,ag/study area,native range,yes,yes,into town,90.515,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,2,,0.54134988,23581.201171875,1272.92217959993
38,1997,Platt,154,active,north,ag/study area,native range,yes,yes,into town,59.578,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,2.58482456,112594.958007812,1403.46395705445
39,1997,Platt,634,active,east,agricultural,native range,yes,yes,outside town,26.785,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,23.67012982,1031070.85473633,4858.19555343708
40,1997,Heil Ranch,560,active,west,preserve,intro range,no,yes,no influence,32.961,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,15.31665891,667193.663085938,4331.36292652987
41,1997,Platt,554,active,north,agricultural,native range,yes,yes,outside town,30.99,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,4,,17.87694312,778719.642578125,5252.82551150545
42,1997,Centennial,472,active,east,agricultural,native range,yes,yes,outside town,36.637,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,0.00395932,172.468505859375,52.8807999109496
43,1997,Centennial,472,active,east,agricultural,native range,yes,yes,outside town,36.637,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,12.55587834,546934.060546875,3554.18448562753
44,1997,Centennial,610,active,east,agricultural,native range,yes,yes,outside town,32.306,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,2,,0.06491608,2827.744140625,619.502515735041
45,1997,Centennial,610,active,east,agricultural,native range,yes,yes,outside town,32.306,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,2,,18.71669985,815299.444580078,6497.8566507484
46,1997,Platt,80,active,flat,ag/study area,native range,yes,yes,into town,44.527,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,5,,1.79666952,78262.9230957031,1723.00645326326
47,1997,Centennial,420,active,flat,agricultural,native range,yes,yes,into town,24.706,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,16.75065101,729658.358886719,5219.75275195594
48,1997,Centennial,40,active,flat,agricultural,native range,yes,yes,into town,25.284,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,6,,1.58204271,68913.7800292969,1147.40078416242
49,1997,Centennial,38,active,flat,agricultural,native range,yes,yes,both,27.683,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,5,,1.37270524,59795.0402832031,1261.26560247146
50,1997,Centennial,147,active,flat,agricultural,native range,yes,yes,into town,19.799,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,4,,7.42472404,323420.981445312,3031.74790919583
51,1997,Colp,286,active,flat,agricultural,native range,yes,yes,outside town,15.282,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,18.71467736,815211.346191406,4405.8399453055
52,1997,Colp,376,active,south,agricultural,native range,yes,no,outside town,35.873,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,2,,10.37577139,451968.603515625,4252.93815727981
53,1997,Lagerman,109,active,flat,agricultural,irrigated grass,yes,no,outside town,18.255,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,5.97099568,260096.571777344,2171.09237689064
54,1997,Bouzarelos,802,active,flat,agricultural,irrigated grass,yes,yes,outside town,61.232,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,13.07270008,569446.817382812,4030.12920054428
55,1997,Bouzarelos,540,active,flat,agricultural,irrigated grass,yes,yes,outside town,32.087,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,2,,15.73064644,685226.960205078,4248.97293987117
56,1997,Brewbaker,100,active,flat,agricultural,irrigated crop,yes,no,no influence,88.553,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,1.12926301,49190.6970214844,927.708144736911
57,1997,Hillside,89,active,south,other,native range,no,no,no influence,38.706,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,2.2993801,100160.998046875,1682.73331454916
58,1997,Monarch,57,active,south,agricultural,intro range,yes,no,both,28.928,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,1.65273658,71993.2055664062,1539.42784702307
59,1997,Monarch,91,active,north,agricultural,intro range,yes,no,both,29.465,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,2,,3.08845217,134532.975830078,1771.41779478852
60,1997,Monarch,80,active,west,agricultural,intro range,yes,no,both,27.35,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,2.92503126,127414.362060547,1884.8563015653
61,1997,Monarch,88,active,east,other,intro range,no,no,into town,86.729,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,4,,0.85196322,37111.5183105469,1015.06432824859
62,1997,Doniphan,64,active,flat,preserve,intro range,no,yes,into town,134.079,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,2,,0.47732987,20792.4895019531,714.950139255575
63,1997,Doniphan,74,active,flat,preserve,intro range,no,yes,into town,135.54,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,0.54596319,23782.1567382812,698.129894360202
64,1997,Doniphan,2115,active,flat,preserve,intro range,no,yes,outside town,72.657,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,28.93327026,1260333.25341797,5655.06519547689
65,1997,Alexander Dawson,138,active,south,agricultural,intro range,yes,yes,outside town,31.141,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,2,,4.37019782,190365.815673828,2050.57103110862
66,1997,Alexander Dawson,1015,active,flat,agricultural,irrigated grass,yes,yes,no influence,70.864,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,13.94772179,607562.76171875,3535.72027748384
67,1997,Legion Park,232,active,north,other,other,no,yes,outside town,58.01,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,0.00154025,67.093017578125,85.4223956241994
68,1997,Legion Park,232,active,north,other,other,no,yes,outside town,58.01,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,0.00104417,45.484375,60.2728907893922
69,1997,Legion Park,232,active,north,other,other,no,yes,outside town,58.01,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,0.0032803,142.89013671875,110.494700969164
70,1997,Legion Park,232,active,north,other,other,no,yes,outside town,58.01,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,0.02839032,1236.68212890625,251.24225337771
71,1997,Legion Park,105,active,north,other,other,no,yes,outside town,38.223,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,4,,2.74707292,119662.498046875,2098.25456446362
72,1997,Legion Park,232,active,north,other,other,no,yes,outside town,58.01,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,0.00288462,125.654541015625,88.1304319780097
73,1997,Legion Park,232,active,north,other,other,no,yes,outside town,58.01,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,0.00087199,37.984130859375,53.7837863915207
74,1997,Legion Park,66,active,north,other,other,no,yes,outside town,76.311,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,2,,0.00492099,214.3583984375,116.600331217928
75,1997,Legion Park,40,active,north,other,other,no,yes,into town,70.833,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,0.00091719,39.95263671875,50.0129918422464
76,1997,Lastoka,89,active,flat,agricultural,irrigated crop,yes,yes,no influence,49.586,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,1.79485429,78183.8525390625,1180.58452719886
77,1997,Liley,86,active,west,agricultural,native range,yes,yes,outside town,31.178,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,2,,2.75833681,120153.153564453,1803.67479849653
78,1997,Thompson  J&T,13,active,north,agricultural,dryland crop,yes,yes,into town,39.053,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,3,,0.33287885,14500.2028808594,529.26777571515
79,1997,Thompson  J&T,5,active,north,agricultural,dryland crop,yes,yes,into town,94.824,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,4,,0.0527294,2296.89282226562,244.119858601823
80,1997,Liley,72,active,west,agricultural,native range,yes,yes,outside town,31.652,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,2.10807252,91827.6391601562,1636.41821823044
81,1997,Thompson  J&T,9,inactive,west,agricultural,dryland crop,yes,yes,no influence,57.819,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,2,,0.15565715,6780.42578125,351.107550745453
82,1997,Thompson  J&T,126,active,west,agricultural,dryland crop,yes,yes,into town,32.28,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,3.90334221,170029.586914062,1844.38721988704
83,1997,Bush Cohig,3,active,west,agricultural,irrigated grass,yes,yes,into town,49.151,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,0.06103553,2658.70825195312,227.924724439966
84,1997,Private,162,active,west,agricultural,irrigated grass,yes,yes,outside town,10.744,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,1,,0.0078394,341.484619140625,155.514097400568
85,1997,Rock Creek Farm,851,active,flat,preserve,intro range,no,no,outside town,21.143,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,38.63403219,1682898.4440918,5110.42857237284
86,1997,Rock Creek Farm,851,active,flat,preserve,intro range,no,no,outside town,21.143,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,1,,1.61587958,70387.7158203125,3969.27165580757
87,1997,Superior Associates,0,active,flat,agricultural,native range,yes,yes,outside town,0,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,3,,4.85952034,211680.706542969,2747.60492221698
88,1997,Rock Creek Farm,325,inactive,flat,agricultural,intro range,yes,no,into town,14.295,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,8,,22.73568244,990366.326904297,5028.85122704948
89,1997,Rock Creek Farm,147,active,flat,agricultural,native range,yes,no,outside town,56.955,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,2,,2.3684983,103171.786621094,1563.27916362657
90,1997,Rock Creek Farm,172,active,south,agricultural,intro range,yes,no,outside town,40.771,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,7,,4.21869362,183766.295410156,1724.072354489
91,1997,Superior Associates,143,active,flat,agricultural,native range,yes,yes,outside town,54.74,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,2,,2.61236533,113794.634521484,2417.14303318839
92,1997,Superior Associates,34,active,north,agricultural,native range,yes,yes,into town,40.14,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,4,,0.53807715,23438.6398925781,637.844877701567
93,1997,Superior Associates,75,active,north,agricultural,native range,yes,yes,into town,21.143,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,3.54723488,154517.552246094,2691.8740878933
94,1997,Rock Creek Farm,225,inactive,flat,agricultural,intro range,yes,no,into town,25.143,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,9,,8.94881804,389810.513183594,2613.36437115101
95,1997,Rock Creek Farm,351,active,north,agricultural,native range,yes,no,into town,13.081,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,4,,0.02450706,1067.52783203125,203.444331294612
96,1997,Rock Creek Farm,351,active,north,agricultural,native range,yes,no,into town,13.081,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,4,,25.80698368,1124152.20800781,5250.30226193306
97,1997,Rock Creek Farm,989,active,flat,agricultural,native range,yes,no,outside town,33.409,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,13,,29.60261858,1289490.06542969,5438.17348815104
98,1997,Rock Creek Farm,55,active,north,agricultural,native range,yes,yes,into town,17.491,1998 MANAGEMENT PLAN,NPD,No Prairie Dogs, ,,3,,2.21559549,96511.3395996094,1401.4241398264
99,1997,Rock Creek Farm,55,active,north,agricultural,native range,yes,yes,into town,17.491,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,3,,0.84645179,36871.4399414062,987.781779879571
100,1997,Rock Creek Farm,56,active,flat,agricultural,native range,yes,no,outside town,38.276,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,11,,1.46306935,63731.3015136719,1188.40997334455
101,1997,Mayhoffer,94,active,flat,agricultural,native range,yes,yes,no influence,15.165,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,6.15590649,268151.287109375,2140.99185044584
102,1997,Rock Creek Farm,112,active,north,agricultural,native range,yes,no,into town,30.909,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,10,,3.62352138,157840.591796875,1631.03501675792
103,1997,Rock Creek Farm,184,inactive,flat,agricultural,native range,yes,no,outside town,21.102,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,12,,8.71956443,379824.226318359,2532.81574173206
104,1997,Rock Creek Farm,172,active,flat,agricultural,native range,yes,no,outside town,20.7,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,5,,8.30900339,361940.188964844,2894.5056510865
105,1997,Rock Creek Farm,137,active,flat,agricultural,native range,yes,yes,outside town,18.271,1998 MANAGEMENT PLAN,MOA,Multiple Objective Areas, ,,6,,7.498108,326617.5859375,2549.06316130717
106,1997,Mayhoffer,72,active,south,agricultural,native range,yes,yes,outside town,16.816,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,2,,4.28154132,186503.940673828,1680.35648103833
107,1997,Lindsay,58,active,south,agricultural,native range,yes,yes,outside town,14.303,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,4.05495421,176633.805419922,2362.00832054449
108,1997,Zaharias,39,active,north,agricultural,native range,yes,yes,outside town,28.035,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, ,,1,,1.39109786,60596.2221679688,1162.3773532583
109,1997,Monarch Pa,122,active,south,other,other,no,no,both,66.87, ,UND,Undetermined, ,,1,,1.82444316,79472.7443847656,1521.65821919467
110,1997,Monarch,88,active,east,other,intro range,no,no,into town,86.729, ,UND,Undetermined, ,,4,,0.16270289,7087.3388671875,517.918081141686
111,1997,Legion Park,232,active,north,other,other,no,yes,outside town,58.01, ,UND,Undetermined, ,,3,,3.96132912,172555.494628906,2160.66213247089
112,1997,Legion Park,66,active,north,other,other,no,yes,outside town,76.311, ,UND,Undetermined, ,,2,,0.85995263,37459.5363769531,790.978018521566
113,1997,Legion Park,40,active,north,other,other,no,yes,into town,70.833, ,UND,Undetermined, ,,1,,0.56378486,24558.4692382812,711.110731293894
114,1997,Private,162,active,west,agricultural,irrigated grass,yes,yes,outside town,10.744, ,UND,Undetermined, ,,1,,15.07048638,656470.385498047,5987.53492582418
115,1997,Town of Superior,332,active,east,agricultural,native range,no,no,outside town,29.249, ,UND,Undetermined, ,,2,,11.35089461,494444.970458984,3158.70679128987
116,1997,Town of Superior,181,active,east,agricultural,native range,no,no,outside town,48.661, ,UND,Undetermined, ,,3,,3.71961602,162026.475097656,2071.66784782681
117,1997,Town of Superior,173,active,north,agricultural,native range,no,no,outside town,57.993, ,UND,Undetermined, ,,1,,2.98314205,129945.667236328,2781.1464537317
118,1997,Sisk,41,active,flat,cons. easement,native range,no,yes,no influence,64.018, ,UND,Undetermined, ,,1,,0.64044067,27897.595703125,818.163253191635
119,1997,Sisk,20,active,flat,cons. easement,native range,no,yes,no influence,73.467, ,UND,Undetermined, ,,2,,0.27222969,11858.3254394531,426.034201010148
120,1997,Hall Ranch,1714,active,flat,preserve,intro range,no,yes,no influence,35.975, ,UND,Undetermined, ,,1,,0.00366518,159.655517578125,61.3383928649932
121,1997,Hall Ranch,1140,active,flat,preserve,intro range,no,yes,no influence,32.007, ,UND,Undetermined, ,,2,,5.46903137,238231.006103516,2493.79779500076
122,1997,Hall Ranch,1140,active,flat,preserve,intro range,no,yes,no influence,32.007, ,UND,Undetermined, ,,2,,5.97229829,260153.313476562,2962.93764879527
123,1997,Hall Ranch,1140,active,flat,preserve,intro range,no,yes,no influence,32.007, ,UND,Undetermined, ,,2,,6.47137184,281892.956542969,3060.29847072253
124,1997,Hall Ranch,1714,active,flat,preserve,intro range,no,yes,no influence,35.975, ,UND,Undetermined, ,,1,,4.37633297,190633.063720703,2795.89653728436
125,1997,Lohr,565,active,flat,agricultural,irrigated grass,yes,no,outside town,38.568, ,UND,Undetermined, ,,4,,4.87038051,212153.775390625,3665.10239642519
126,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364, ,UND,Undetermined, ,,4,,0.4100787,17863.0288085938,760.905189974964
127,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364, ,UND,Undetermined, ,,4,,0.47663118,20762.0544433594,1067.29338991569
128,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364, ,UND,Undetermined, ,,4,,0.0601754,2621.24096679688,266.253082578329
129,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364, ,UND,Undetermined, ,,4,,0.00117222,51.0625,34.596097540609
130,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364, ,UND,Undetermined, ,,4,,0.0316839,1380.15112304688,194.62119713604
131,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364, ,UND,Undetermined, ,,4,,1.63720655,71316.7177734375,1479.05089887867
132,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364, ,UND,Undetermined, ,,4,,0.21492509,9362.13720703125,701.013324682451
133,1997,Heil Ranch,1540,active,flat,preserve,intro range,no,yes,outside town,28.364, ,UND,Undetermined, ,,4,,5.488e-05,2.390869140625,9.77135678907895
134,1997,Heil Ranch,29,active,west,preserve,intro range,no,yes,into town,56.448, ,UND,Undetermined, ,,3,,0.07982879,3477.34228515625,271.427971600936
135,1997,Heil Ranch,29,active,west,preserve,intro range,no,yes,into town,56.448, ,UND,Undetermined, ,,3,,0.01498788,652.87255859375,128.771330174943
136,1997,Trevarton,63,active,east,cons. easement,native range,no,yes,outside town,17.563, ,UND,Undetermined, ,,1,,3.58712434,156255.135986328,2010.15659870635
137,1997,Heil Ranch,560,active,west,preserve,intro range,no,yes,no influence,32.961, ,UND,Undetermined, ,,1,,1.62986005,70996.7036132812,1411.9619524836
138,1997,Heil Ranch,560,active,west,preserve,intro range,no,yes,no influence,32.961, ,UND,Undetermined, ,,1,,0.04343273,1891.92993164062,211.593024599262
139,1997,Centennial,472,active,east,agricultural,native range,yes,yes,outside town,36.637, ,UND,Undetermined, ,,1,,0.30515038,13292.3513183594,1898.18259740196
140,1997,Colp,376,active,south,agricultural,native range,yes,no,outside town,35.873, ,UND,Undetermined, ,,2,,0.10588929,4612.53759765625,699.568174944515
141,1997,Bouzarelos,802,active,flat,agricultural,irrigated grass,yes,yes,outside town,61.232, ,UND,Undetermined, ,,1,,0.00031135,13.562744140625,40.1575774632911
142,1997,Bouzarelos,802,active,flat,agricultural,irrigated grass,yes,yes,outside town,61.232, ,UND,Undetermined, ,,1,,0.01140019,496.59228515625,454.504320023612
143,1997,Bouzarelos,802,active,flat,agricultural,irrigated grass,yes,yes,outside town,61.232, ,UND,Undetermined, ,,1,,0.00018221,7.9375,31.8757994195078
144,1997,Bouzarelos,540,active,flat,agricultural,irrigated grass,yes,yes,outside town,32.087, ,UND,Undetermined, ,,2,,0.61188439,26653.6838378906,797.962241907807
145,1997,Bouzarelos,802,active,flat,agricultural,irrigated grass,yes,yes,outside town,61.232, ,UND,Undetermined, ,,1,,0.01227465,534.68359375,132.926106705368
146,1997,Bouzarelos,540,active,flat,agricultural,irrigated grass,yes,yes,outside town,32.087, ,UND,Undetermined, ,,2,,0.48677659,21203.98828125,803.940161782676
147,1997,Brewbaker,281,active,flat,agricultural,irrigated crop,yes,no,no influence,38.385, ,UND,Undetermined, ,,2,,7.32058289,318884.58984375,2965.42766798029
148,1997,Monarch,5,active,flat,agricultural,intro range,yes,no,no influence,169.418, ,UND,Undetermined, ,,5,,0.02951269,1285.57275390625,160.022819948009
149,2002,TELLEEN (SUPERIOR AS,0,, , , ,, ,,0,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area, , ,0,,5.77002417,251342.252197266,2308.6449434412
150,2002,Zaharias/Thomas,0,active,varied,wildlife (HCA),intro range,,yes,,0,1998 MANAGEMENT PLAN,HCA,Habitat Conservation Area,MODIFIED 12-30-02, ,1,off of property,0.14791011,6442.96435546875,383.356438811797
